ROIname,ROIID,nVoxels
RH_SalVentAttnA_ParOper_1,146,952
RH_SalVentAttnA_PrC_1,147,409
RH_SalVentAttnA_Ins_1,148,367
RH_SalVentAttnA_Ins_2,149,752
RH_SalVentAttnA_FrOper_1,150,890
RH_SalVentAttnA_FrMed_1,151,727
RH_SalVentAttnA_ParMed_1,152,239
RH_SalVentAttnA_ParMed_2,153,587
RH_SalVentAttnA_FrMed_2,154,608
RH_SalVentAttnB_IPL_1,155,433
RH_SalVentAttnB_PFClv_1,156,1022
RH_SalVentAttnB_PFCl_1,157,1027
RH_SalVentAttnB_Ins_1,158,242
RH_SalVentAttnB_Ins_2,159,364
RH_SalVentAttnB_PFCmp_1,160,636
RH_LimbicB_OFC_1,161,854
RH_LimbicB_OFC_2,162,739
RH_LimbicB_OFC_3,163,990
RH_LimbicB_OFC_4,164,793
RH_LimbicA_TempPole_1,165,1144
RH_LimbicA_TempPole_2,166,1136
RH_LimbicA_TempPole_3,167,544
RH_LimbicA_TempPole_4,168,798
RH_ContA_IPS_1,169,756
RH_ContA_IPS_2,170,453
RH_ContA_PFCd_1,171,633
RH_ContA_PFCl_1,172,823
RH_ContA_PFCl_2,173,1085
RH_ContA_Cingm_1,174,210
RH_ContB_Temp_1,175,1134
RH_ContB_Temp_2,176,753
RH_ContB_IPL_1,177,689
RH_ContB_IPL_2,178,410
RH_ContB_PFCld_1,179,448
RH_ContB_PFCld_2,180,1103
RH_ContB_PFClv_1,181,986
RH_ContB_PFClv_2,182,796
RH_ContB_PFCmp_1,183,824
RH_ContB_PFCld_3,184,468
RH_ContC_pCun_1,185,478
RH_ContC_pCun_2,186,570
RH_ContC_Cingp_1,187,340
RH_DefaultA_IPL_1,188,855
RH_DefaultA_PFCd_1,189,537
RH_DefaultA_pCunPCC_1,190,924
RH_DefaultA_PFCm_1,191,591
RH_DefaultA_PFCm_2,192,114
RH_DefaultA_PFCm_3,193,1446
RH_DefaultB_Temp_1,194,476
RH_DefaultB_AntTemp_1,195,1059
RH_DefaultB_PFCd_1,196,933
RH_DefaultB_PFCv_1,197,1043
RH_DefaultC_IPL_1,198,791
RH_DefaultC_Rsp_1,199,484
RH_DefaultC_PHC_1,200,676
RH_TempPar_1,201,712
RH_TempPar_2,202,465
RH_TempPar_3,203,491
RH_TempPar_4,204,392
