SubID,StudyTrial,TestTrial,Run,Valence,SoundID,ObjID,SceneID,ColStudy,SceStudy,Ques1,Ques2,ColTest,SceneTest,SoundResponse,SoundRT,SoundCorrect,SoundConfidence,ColResp,ColRT,SceneResp,SceneRT,ColError,SceError,ColAbsError,SceAbsError,onsetEncoding,TotalEncodingTrial
22,100,106,5,Negative,4,93,3,285,93,2,1,111,180,3,0.418390714,0,0,78,5.49184432,174,4.911375001,153,81,153,81,22.0166721,2308
22,101,110,5,Neutral,9,67,3,351,360,1,2,186,279,4,0.438811665,1,1,348,2.10762275,351,4.327774727,-3,-9,3,9,29.01437658,2309
22,102,113,5,Neutral,11,14,2,318,159,2,1,231,351,2,0.836777853,0,0,327,2.955325308,141,2.83215424,9,-18,9,18,36.01212734,2310
22,103,99,5,Neutral,8,110,2,78,51,1,2,129,213,3,0.615484974,1,0,72,3.559836951,42,4.828105864,-6,-9,6,9,43.00978123,2311
22,104,120,5,Negative,4,58,1,165,33,2,1,231,339,1,0.342920068,1,1,81,2.90215831,18,4.588956166,-84,-15,84,15,50.00748578,2312
22,105,104,5,Negative,3,130,5,297,177,1,2,321,132,1,0.259585702,1,1,303,-1,168,1.27786389,6,-9,6,9,57.00607771,2313
22,106,119,5,Negative,5,24,3,192,45,1,2,144,294,1,0.277857359,1,1,165,5.10429897,30,-1,-27,-15,27,15,64.00291216,2314
22,107,116,5,Negative,3,102,6,351,168,1,2,168,204,2,0.529306676,1,0,9,2.436364143,219,5.513137662,18,51,18,51,71.01729196,2315
22,108,115,5,Negative,2,125,1,333,186,1,2,189,357,3,0.668451211,0,0,348,3.469917819,90,3.205421803,15,-96,15,96,78.01495204,2316
22,109,97,5,Negative,5,95,2,150,351,1,2,189,234,1,1.10836557,1,1,111,2.203264847,354,5.285956312,-39,3,39,3,85.01266936,2317
22,110,98,5,Negative,6,131,2,15,114,2,1,246,81,3,1.289120047,0,0,351,1.06180398,141,-1,-24,27,24,27,92.01037729,2318
22,111,109,5,Negative,2,59,4,30,186,1,2,69,240,2,0.444692655,1,0,6,2.259928622,177,1.974560626,-24,-9,24,9,99.00808497,2319
22,112,107,5,Neutral,11,87,4,306,135,2,1,246,309,3,0.155024478,1,0,231,4.777057995,336,2.302856448,-75,-159,75,159,106.0058327,2320
22,113,100,5,Negative,6,39,5,360,300,2,1,171,333,3,0.311326962,0,0,261,2.684333741,147,-1,-99,-153,99,153,113.0035171,2321
22,114,118,5,Neutral,8,117,4,156,9,1,2,264,243,3,0.540284943,1,0,207,-1,24,4.015214775,51,15,51,15,120.0178926,2322
22,115,117,5,Neutral,10,85,6,72,300,2,1,168,63,3,0.001667395,1,0,99,4.777767257,318,-1,27,18,27,18,127.015578,2323
22,116,114,5,Neutral,7,115,1,219,231,2,1,33,243,3,0.504716132,1,0,210,2.685552347,297,2.544045184,-9,66,9,66,134.0132878,2324
22,117,103,5,Neutral,9,89,6,264,246,1,2,18,123,3,0.613650031,1,0,237,4.089933416,42,1.862114847,-27,156,27,156,141.0115153,2325
22,118,111,5,Negative,1,62,6,129,99,2,1,75,87,3,0.388948747,0,0,153,1.402764058,117,4.573899575,24,18,24,18,148.0086783,2326
22,119,108,5,Neutral,12,30,1,72,312,1,2,237,96,2,0.902696633,0,0,321,-1,291,4.454492401,-111,-21,111,21,155.0063763,2327
22,120,102,5,Neutral,7,4,5,114,69,2,1,159,81,3,0.156359321,1,0,153,4.774948633,33,-1,39,-36,39,36,162.00526,2328
22,121,125,6,Neutral,9,78,6,186,12,2,1,48,105,3,0.581662732,1,0,189,2.479725215,9,5.728862091,3,-3,3,3,1.011314874,2329
22,122,133,6,Negative,5,124,5,69,189,2,1,45,264,1,0.387279619,1,1,63,4.28387438,195,5.365132866,-6,6,6,6,8.009047191,2330
22,123,129,6,Neutral,10,16,2,276,78,1,2,117,321,2,0.423136224,0,0,297,4.815713948,78,3.893411854,21,0,21,0,15.00672784,2331
22,124,134,6,Negative,6,5,6,42,207,1,2,48,66,1,0.42288933,1,1,351,3.759313794,201,4.423478023,-51,-6,51,6,22.00443986,2332
22,125,136,6,Neutral,10,53,5,120,252,1,2,48,132,3,0.44531371,1,0,63,-1,252,4.49554247,-57,0,57,0,29.01882094,2333
22,126,141,6,Negative,5,119,2,84,228,2,1,126,57,1,0.358136783,1,1,159,-1,219,-1,75,-9,75,9,36.01652175,2334
22,127,135,6,Negative,4,133,2,33,357,1,2,132,270,2,1.107710349,1,0,354,3.072141921,228,-1,-39,-129,39,129,43.01422873,2335
22,128,139,6,Negative,1,26,3,54,204,1,2,90,48,1,0.259595764,1,1,27,4.000360135,225,5.48859319,-27,21,27,21,50.01190402,2336
22,129,121,6,Neutral,11,136,3,9,279,1,2,159,168,4,0.867826456,1,1,3,2.377505826,276,3.503035649,-6,-3,6,3,57.00964332,2337
22,130,140,6,Negative,2,138,3,249,54,2,1,78,12,3,0.5933509,0,0,186,2.005569934,327,5.591324435,-63,-87,63,87,64.00733825,2338
22,131,122,6,Neutral,7,15,4,99,294,1,2,9,339,3,1.690407258,1,0,150,3.742386296,285,1.587113995,51,-9,51,9,71.00504431,2339
22,132,124,6,Neutral,12,114,3,108,342,2,1,93,345,4,0.625254885,1,1,132,1.594345645,321,3.105833484,24,-21,24,21,78.00273758,2340
22,133,126,6,Negative,1,23,1,300,210,1,2,246,123,1,0.416480948,1,1,279,-1,216,3.654504388,-21,6,21,6,85.01711003,2341
22,134,130,6,Neutral,9,50,4,306,15,2,1,108,12,4,0.360628017,1,1,171,-1,24,2.118263584,-135,9,135,9,92.01479792,2342
22,135,144,6,Neutral,11,3,1,246,63,1,2,21,114,2,1.791872046,0,0,192,3.089767797,54,1.902676065,-54,-9,54,9,99.01251529,2343
22,136,127,6,Negative,2,64,1,141,114,2,1,303,78,1,0.193333101,1,1,120,2.15592327,114,3.49512354,-21,0,21,0,106.010222,2344
22,137,131,6,Neutral,8,12,2,231,183,2,1,261,12,3,0.440504875,1,0,294,1.72550591,345,2.017945303,63,162,63,162,113.0079277,2345
22,138,142,6,Neutral,8,127,5,21,333,2,1,237,57,4,0.30074219,1,1,9,2.62062632,333,2.086699075,-12,0,12,0,120.0056153,2346
22,139,128,6,Neutral,12,37,1,51,348,2,1,129,255,3,0.651850969,1,0,66,3.505665848,72,3.431226101,15,84,15,84,127.0033478,2347
22,140,123,6,Negative,3,20,6,282,84,2,1,258,171,2,0.283867561,1,0,288,3.798296695,105,5.349145601,6,21,6,21,134.0177053,2348
