"ROI","Phase","Feature","Beta","SE","T","Df","Pvalue","Pfdr"
"LH_AMYG","Onset","Sound",0.210444099633402,0.104987471310126,2.00446869523854,27.7128844699264,0.0548799735534761,0.231860916167845
"LH_AMYG","Onset","Color",0.0183486350260026,0.0758309477256676,0.241967634274889,3672.88560830858,0.80881875086134,0.911665584986857
"LH_AMYG","Onset","Scene",0.0829473644130943,0.101140093235807,0.82012347190252,27.2486347068833,0.41926235874657,0.676122697109093
"LH_ContA_Cingm_1","Onset","Sound",0.129912752259536,0.118728449391961,1.09420069852552,30.2771015770261,0.282495932199748,0.55467011973707
"LH_ContA_Cingm_1","Onset","Color",-0.0547829822687505,0.0895320791805169,-0.611881046102991,3673.77890195036,0.540654326766738,0.758900110048723
"LH_ContA_Cingm_1","Onset","Scene",-0.0963839653776584,0.0948538782510532,-1.01613099174032,3677.96360591985,0.309633849791238,0.573869635358148
"LH_ContA_IPS_1","Onset","Sound",0.125869256537994,0.206251428017791,0.610270957867678,28.5157678081537,0.546515623573378,0.760425608524539
"LH_ContA_IPS_1","Onset","Color",0.216029620738347,0.161972963495523,1.33373876773156,3676.13205903914,0.18237211165567,0.429275893589501
"LH_ContA_IPS_1","Onset","Scene",0.387848666249382,0.235156358752442,1.64932246913078,27.0364131542173,0.110654236594244,0.331151065015538
"LH_ContA_IPS_2","Onset","Sound",0.30009043729179,0.193123065588497,1.55388190622045,26.6159950862282,0.13202405079572,0.367197284678426
"LH_ContA_IPS_2","Onset","Color",0.108980006195784,0.117997680000529,0.923577533009932,3669.91788620602,0.3557670337649,0.606771621911768
"LH_ContA_IPS_2","Onset","Scene",0.146594595962683,0.186661527614977,0.785349813835559,23.1496720117741,0.440212744053881,0.684633119088533
"LH_ContA_IPS_3","Onset","Sound",0.191638533894963,0.178444923665601,1.07393659600027,27.8285331470213,0.292075338735812,0.560345163969647
"LH_ContA_IPS_3","Onset","Color",0.148077665084796,0.154746609871396,0.956904097659119,28.878475084498,0.346558460276575,0.599982397989431
"LH_ContA_IPS_3","Onset","Scene",0.257671838941042,0.128767624970633,2.00106074022726,3671.4964706651,0.0454593266537949,0.210328082407088
"LH_ContA_PFCd_1","Onset","Sound",0.0691940895968439,0.115641716744743,0.598348861852134,29.2720664483721,0.554209252655172,0.766692964771383
"LH_ContA_PFCd_1","Onset","Color",0.044454346019647,0.0810190513842393,0.548690033518397,3661.02277604727,0.58325164564129,0.788839794767889
"LH_ContA_PFCd_1","Onset","Scene",0.213960307462275,0.117162330339502,1.82618685410473,20.7342772083658,0.0822580625805326,0.291271643524305
"LH_ContA_PFCl_1","Onset","Sound",0.349536705489035,0.138841697393835,2.517519679247,24.3601459551864,0.0187883225423097,0.134047577002229
"LH_ContA_PFCl_1","Onset","Color",0.0678012181731473,0.107966682614239,0.627982786276748,3667.56942471837,0.530054315936291,0.750910280909746
"LH_ContA_PFCl_1","Onset","Scene",0.227562907719328,0.147882890003777,1.53880484560125,26.3911337486807,0.135757020320175,0.372570836035637
"LH_ContA_PFCl_2","Onset","Sound",0.301705761283913,0.155463248533564,1.94068864590061,27.4440438847859,0.062632173339651,0.250528693358604
"LH_ContA_PFCl_2","Onset","Color",0.240896799631137,0.11448705598304,2.10414004939409,3652.67768133241,0.0354344073633807,0.184560487713949
"LH_ContA_PFCl_2","Onset","Scene",0.471227098208448,0.155756223199533,3.02541425651275,25.3579777072421,0.00562578162110864,0.0649618557003488
"LH_ContA_PFCl_3","Onset","Sound",0.27441919558967,0.130509029618372,2.10268359509003,25.4665897366457,0.0455367171878091,0.210328082407088
"LH_ContA_PFCl_3","Onset","Color",-0.0509821616875664,0.102993574609287,-0.495003323080792,3672.04833431172,0.620627391289782,0.812457675870261
"LH_ContA_PFCl_3","Onset","Scene",0.216166086341455,0.15466312635798,1.39765755052126,21.9175534716235,0.176203557042485,0.422060966379651
"LH_ContA_PFClv_1","Onset","Sound",0.0795622555993384,0.15633498416763,0.50892163403444,27.0051473926026,0.614940289954231,0.809730536544703
"LH_ContA_PFClv_1","Onset","Color",-0.0914505469980168,0.0948768179066842,-0.963887164596547,3666.65931022906,0.335166063435562,0.591128619085199
"LH_ContA_PFClv_1","Onset","Scene",0.165697398654478,0.100531057467929,1.64822098591112,3672.60567321989,0.0993928682900021,0.314358839242797
"LH_ContA_Temp_1","Onset","Sound",0.437282312726727,0.157194366184468,2.781793796691,25.9657198092512,0.00993428171669942,0.0965044509622229
"LH_ContA_Temp_1","Onset","Color",0.116012491766902,0.109338044296436,1.06104414536966,3668.68331290013,0.28873968368643,0.557503557302123
"LH_ContA_Temp_1","Onset","Scene",0.510983166766334,0.163758276383354,3.1203501774172,28.172277216438,0.0041444370650464,0.0554219107309093
"LH_ContB_IPL_1","Onset","Sound",0.0977783851177195,0.204244273911262,0.478732564910001,26.5392073218563,0.636049613723337,0.821211428740682
"LH_ContB_IPL_1","Onset","Color",-0.257523552089732,0.152843471988395,-1.68488420695708,3670.84199269325,0.0920959167892744,0.305488894715642
"LH_ContB_IPL_1","Onset","Scene",-0.0353844595193176,0.206796420050639,-0.171107698627727,27.1671009296512,0.865407164545456,0.946579154840842
"LH_ContB_PFCl_1","Onset","Sound",0.0499676685870562,0.132358368159117,0.377518016291849,26.247961167981,0.708824134799777,0.857312985172853
"LH_ContB_PFCl_1","Onset","Color",-0.165735838872022,0.0963334644153909,-1.72043889294137,3673.16930355566,0.0854369144174978,0.297087452406299
"LH_ContB_PFCl_1","Onset","Scene",-0.10860881889657,0.102058099041017,-1.0641861833319,3676.73507874987,0.287314248330714,0.557503557302123
"LH_ContB_PFClv_1","Onset","Sound",0.127156150745193,0.163927576480162,0.775684930354479,24.8744947156169,0.445247735356414,0.687242406149118
"LH_ContB_PFClv_1","Onset","Color",-0.179932186986363,0.127373564987914,-1.41263367326993,3664.62151344253,0.157848381212116,0.401676545953492
"LH_ContB_PFClv_1","Onset","Scene",-0.0717694391974569,0.167385515080896,-0.428767322923798,26.6008584346727,0.671544899168757,0.835903802685092
"LH_ContB_PFClv_2","Onset","Sound",-0.24169555530564,0.195486490345477,-1.2363798382103,25.884114146163,0.227419405180967,0.489211514835682
"LH_ContB_PFClv_2","Onset","Color",-0.359323535864932,0.134566664619503,-2.67022696059939,3671.29362865457,0.00761340646143605,0.0809372698704723
"LH_ContB_PFClv_2","Onset","Scene",-0.121888110358037,0.142567707829476,-0.854948937692303,3675.42142436123,0.392635141345529,0.645081091284466
"LH_ContB_Temp_1","Onset","Sound",0.0836049440173924,0.101484643440579,0.823818670322715,3658.00476236005,0.410096305085639,0.666510250833261
"LH_ContB_Temp_1","Onset","Color",-0.0271778390524833,0.101211980469533,-0.268523932902038,3679.98532302837,0.788311106856961,0.904304399993365
"LH_ContB_Temp_1","Onset","Scene",0.03575127564834,0.107085894361064,0.33385606817455,3657.56702729294,0.7385073111261,0.875324626635781
"LH_ContC_Cingp_1","Onset","Sound",-0.182062302633094,0.110424843722725,-1.64874403707784,3674.25097344841,0.0992855754173745,0.314358839242797
"LH_ContC_Cingp_1","Onset","Color",-0.254159642149409,0.110045404292198,-2.3095888809182,3666.44863642385,0.020966226433466,0.139250317135754
"LH_ContC_Cingp_1","Onset","Scene",-0.201202784039008,0.153202101227933,-1.31331608657025,25.7347000771547,0.200666237432033,0.455687336951408
"LH_ContC_pCun_1","Onset","Sound",-0.133519985464187,0.154091953068287,-0.866495510021966,3677.63398391123,0.386275014341349,0.638110293783813
"LH_ContC_pCun_1","Onset","Color",-0.298328990963727,0.153352767155203,-1.94537729248667,3669.17695402543,0.05180586390274,0.225653670515123
"LH_ContC_pCun_1","Onset","Scene",-0.1286561331231,0.162601680492994,-0.791234953618101,3677.73443357015,0.42885792138258,0.681084101555234
"LH_ContC_pCun_2","Onset","Sound",0.128292994435368,0.16077956333843,0.797943418749807,27.0496251403365,0.431853119423955,0.682049313774091
"LH_ContC_pCun_2","Onset","Color",-0.152855946734009,0.156072359102656,-0.979391531036374,26.7397832449355,0.33616507145463,0.591755995488825
"LH_ContC_pCun_2","Onset","Scene",0.0162497329243211,0.123839568065153,0.131216001300748,3674.34537461804,0.895611621874317,0.962688022915469
"LH_DefaultA_IPL_1","Onset","Sound",0.254627200880641,0.209029198754284,1.2181417830528,26.5473016640574,0.233886020596722,0.493580153811013
"LH_DefaultA_IPL_1","Onset","Color",-0.363819683521982,0.133039227508984,-2.73467976576618,3666.56716425848,0.00627411778467855,0.0698138197131504
"LH_DefaultA_IPL_1","Onset","Scene",-0.252077624051735,0.14098797044215,-1.78793710740852,3673.72567813074,0.0738685473543322,0.271619932908893
"LH_DefaultA_pCunPCC_1","Onset","Sound",0.0446737500097831,0.0984051918419378,0.453977571442976,3678.71007541084,0.649871751060953,0.826863849582751
"LH_DefaultA_pCunPCC_1","Onset","Color",-0.333551855304005,0.0981052974136306,-3.39993725209034,3670.10608935258,0.000681206754628718,0.0189499333560352
"LH_DefaultA_pCunPCC_1","Onset","Scene",-0.256646483640227,0.131064009449036,-1.95817665520162,32.8104297747245,0.0587570885046386,0.24215042535245
"LH_DefaultA_pCunPCC_2","Onset","Sound",-0.202248441200895,0.0856946694516585,-2.36010527253373,3678.71194474591,0.0183216725657826,0.132696610772295
"LH_DefaultA_pCunPCC_2","Onset","Color",-0.250414393516365,0.0852953028902552,-2.93585209303448,3670.48277436327,0.00334698659422461,0.0512376089653002
"LH_DefaultA_pCunPCC_2","Onset","Scene",-0.356340792556802,0.0904269271571338,-3.94064913803377,3678.79147789209,0.0000827707191572109,0.00470618699810306
"LH_DefaultA_pCunPCC_3","Onset","Sound",0.0465037281989803,0.109586761772244,0.424355345909662,3679.95856543496,0.671331487448004,0.835903802685092
"LH_DefaultA_pCunPCC_3","Onset","Color",-0.302706240857704,0.109110655391399,-2.77430503713725,3673.17346822279,0.00555993793279669,0.0648129907594585
"LH_DefaultA_pCunPCC_3","Onset","Scene",-0.293805574859617,0.115637752247936,-2.54074097038548,3679.97347518801,0.0111025233640354,0.102722275905104
"LH_DefaultA_PFCd_1","Onset","Sound",0.0848692191526964,0.118002194271114,0.719217296567438,27.3320637951926,0.478111795246965,0.706773958191165
