SubID,Trial,ROI,nVox,MeanBeta
sub-s027,1,LH_AMYG,245,-4.30324694143266
sub-s027,2,LH_AMYG,245,-2.89455946277903
sub-s027,3,LH_AMYG,245,-1.8884232272489
sub-s027,4,LH_AMYG,245,-0.275435240110573
sub-s027,5,LH_AMYG,245,-4.44956381028917
sub-s027,6,LH_AMYG,245,-2.97131999094248
sub-s027,7,LH_AMYG,245,-1.26067578229217
sub-s027,8,LH_AMYG,245,-0.904478391989761
sub-s027,9,LH_AMYG,245,-1.12545290041183
sub-s027,10,LH_AMYG,245,-4.4619896360616
sub-s027,11,LH_AMYG,245,-2.94789450200541
sub-s027,12,LH_AMYG,245,-1.91824632027205
sub-s027,13,LH_AMYG,245,-4.10802634411624
sub-s027,14,LH_AMYG,245,-2.64532240008821
sub-s027,15,LH_AMYG,245,-2.75160350690083
sub-s027,16,LH_AMYG,245,-5.39631505213222
sub-s027,17,LH_AMYG,245,-1.26513706421366
sub-s027,18,LH_AMYG,245,0.2880076185401
sub-s027,19,LH_AMYG,245,-2.22333478801409
sub-s027,20,LH_AMYG,245,-3.12585938456326
sub-s027,21,LH_AMYG,245,0.0835408296512098
sub-s027,22,LH_AMYG,245,-2.06539237152557
sub-s027,23,LH_AMYG,245,-2.31603493211525
sub-s027,24,LH_AMYG,245,-8.12530858290515
sub-s027,25,LH_AMYG,245,0.239417318836311
sub-s027,26,LH_AMYG,245,-0.576547697308112
sub-s027,27,LH_AMYG,245,-3.26574904407774
sub-s027,28,LH_AMYG,245,-3.96348583564466
sub-s027,29,LH_AMYG,245,-0.393144701953445
sub-s027,30,LH_AMYG,245,-3.85272039296676
sub-s027,31,LH_AMYG,245,-4.05286374238073
sub-s027,32,LH_AMYG,245,-2.84555754890245
sub-s027,33,LH_AMYG,245,-1.3261730555673
sub-s027,34,LH_AMYG,245,-2.62757850064307
sub-s027,35,LH_AMYG,245,-0.686413392105273
sub-s027,36,LH_AMYG,245,3.26023055730121
sub-s027,37,LH_AMYG,245,-0.150467052538784
sub-s027,38,LH_AMYG,245,-5.15110998933717
sub-s027,39,LH_AMYG,245,0.566073827187017
sub-s027,40,LH_AMYG,245,1.78837064603458
sub-s027,41,LH_AMYG,245,-2.48292798726838
sub-s027,42,LH_AMYG,245,-4.41692059412599
sub-s027,43,LH_AMYG,245,-7.53488226796177
sub-s027,44,LH_AMYG,245,1.15413626985891
sub-s027,45,LH_AMYG,245,-4.35794388230662
sub-s027,46,LH_AMYG,245,-1.03631094913093
sub-s027,47,LH_AMYG,245,3.63380728035557
sub-s027,48,LH_AMYG,245,1.34547004661314
sub-s027,49,LH_AMYG,245,4.80247553696438
sub-s027,50,LH_AMYG,245,-6.72289786788882
sub-s027,51,LH_AMYG,245,-2.91447765255461
sub-s027,52,LH_AMYG,245,1.56572333720266
sub-s027,53,LH_AMYG,245,1.25761783865033
sub-s027,54,LH_AMYG,245,-4.96261478426049
sub-s027,55,LH_AMYG,245,-0.727230849527583
sub-s027,56,LH_AMYG,245,0.427612996185008
sub-s027,57,LH_AMYG,245,0.69266845431863
sub-s027,58,LH_AMYG,245,1.96827497111291
sub-s027,59,LH_AMYG,245,0.216408710417395
sub-s027,60,LH_AMYG,245,0.316107074756707
sub-s027,61,LH_AMYG,245,1.12476500680252
sub-s027,62,LH_AMYG,245,-1.95710334399221
sub-s027,63,LH_AMYG,245,-2.47224294824564
sub-s027,64,LH_AMYG,245,-3.43176790098755
sub-s027,65,LH_AMYG,245,0.899551506188451
sub-s027,66,LH_AMYG,245,0.590032323404234
sub-s027,67,LH_AMYG,245,-0.51938321271113
sub-s027,68,LH_AMYG,245,1.62315057034091
sub-s027,69,LH_AMYG,245,0.545804000246738
sub-s027,70,LH_AMYG,245,-1.64885286810447
sub-s027,71,LH_AMYG,245,-4.3095505655116
sub-s027,72,LH_AMYG,245,10.5545049083476
sub-s027,73,LH_AMYG,245,-2.65935458765954
sub-s027,74,LH_AMYG,245,1.97489613848073
sub-s027,75,LH_AMYG,245,1.62740657195753
sub-s027,76,LH_AMYG,245,-5.17955221688869
sub-s027,77,LH_AMYG,245,-5.39032686012132
sub-s027,78,LH_AMYG,245,-2.91315352570037
sub-s027,79,LH_AMYG,245,1.57087541683292
sub-s027,80,LH_AMYG,245,1.86548656218362
sub-s027,81,LH_AMYG,245,-1.32064516886651
sub-s027,82,LH_AMYG,245,-0.00933261821996801
sub-s027,83,LH_AMYG,245,4.36608902010877
sub-s027,84,LH_AMYG,245,1.29974953310222
sub-s027,85,LH_AMYG,245,-3.90181133345682
sub-s027,86,LH_AMYG,245,-3.36747013370563
sub-s027,87,LH_AMYG,245,-5.60565251425213
sub-s027,88,LH_AMYG,245,2.19821488492343
sub-s027,89,LH_AMYG,245,-3.38307492231228
sub-s027,90,LH_AMYG,245,1.37810906938144
sub-s027,91,LH_AMYG,245,4.66591059066811
sub-s027,92,LH_AMYG,245,-2.67733993626827
sub-s027,93,LH_AMYG,245,-3.39572681029688
sub-s027,94,LH_AMYG,245,5.81338695090036
sub-s027,95,LH_AMYG,245,-2.78228811715939
sub-s027,96,LH_AMYG,245,-4.35862414088784
sub-s027,97,LH_AMYG,245,-0.850561145731077
sub-s027,98,LH_AMYG,245,0.790386767776645
sub-s027,99,LH_AMYG,245,0.0553907127708805
sub-s027,100,LH_AMYG,245,-1.15874336956791
sub-s027,101,LH_AMYG,245,0.0985119335505427
sub-s027,102,LH_AMYG,245,1.66542561060312
sub-s027,103,LH_AMYG,245,1.62594003330688
sub-s027,104,LH_AMYG,245,1.02950263196716
sub-s027,105,LH_AMYG,245,-1.72241336891846
sub-s027,106,LH_AMYG,245,-1.25712210795823
sub-s027,107,LH_AMYG,245,-1.74451364435883
sub-s027,108,LH_AMYG,245,2.4258158075072
sub-s027,109,LH_AMYG,245,3.00055512883225
sub-s027,110,LH_AMYG,245,-1.76698638991434
sub-s027,111,LH_AMYG,245,-2.89750340140748
sub-s027,112,LH_AMYG,245,0.771563896749701
sub-s027,113,LH_AMYG,245,2.43289440651329
sub-s027,114,LH_AMYG,245,0.77579715960488
sub-s027,115,LH_AMYG,245,-2.63071995365376
sub-s027,116,LH_AMYG,245,-1.47592760754787
sub-s027,117,LH_AMYG,245,-1.1755919038033
sub-s027,118,LH_AMYG,245,2.9470044279433
sub-s027,119,LH_AMYG,245,8.43221643396786
sub-s027,120,LH_AMYG,245,-3.28082268347546
sub-s027,121,LH_AMYG,245,1.50120206663803
sub-s027,122,LH_AMYG,245,1.43400231687998
sub-s027,123,LH_AMYG,245,-2.243802340055
sub-s027,124,LH_AMYG,245,3.97525061782525
sub-s027,125,LH_AMYG,245,1.4440343176832
sub-s027,126,LH_AMYG,245,-1.17351675801435
sub-s027,127,LH_AMYG,245,2.81974677599738
sub-s027,128,LH_AMYG,245,-2.29154297669931
sub-s027,129,LH_AMYG,245,-3.6458398880399
sub-s027,130,LH_AMYG,245,1.96621557804851
sub-s027,131,LH_AMYG,245,1.12824466289306
sub-s027,132,LH_AMYG,245,1.37429813619855
sub-s027,133,LH_AMYG,245,3.24289130459407
sub-s027,134,LH_AMYG,245,5.40762371221291
sub-s027,135,LH_AMYG,245,1.85290824580101
sub-s027,136,LH_AMYG,245,0.710952953234011
sub-s027,137,LH_AMYG,245,-1.15221669643509
sub-s027,138,LH_AMYG,245,1.40175875056611
sub-s027,139,LH_AMYG,245,-0.159672708626913
sub-s027,140,LH_AMYG,245,-0.526491324983689
sub-s027,141,LH_AMYG,245,-2.03635872407835
sub-s027,142,LH_AMYG,245,3.45166867715972
sub-s027,143,LH_AMYG,245,7.83113362746579
sub-s027,144,LH_AMYG,245,-4.13175151834683
sub-s027,1,RH_AMYG,279,-2.92248449525312
sub-s027,2,RH_AMYG,279,1.75460904219612
sub-s027,3,RH_AMYG,279,-3.22680596353012
sub-s027,4,RH_AMYG,279,-0.697765355949761
sub-s027,5,RH_AMYG,279,-0.400437954546196
sub-s027,6,RH_AMYG,279,-3.08180310208631
sub-s027,7,RH_AMYG,279,0.753368208638816
sub-s027,8,RH_AMYG,279,-0.268053733693656
sub-s027,9,RH_AMYG,279,-0.923267719779818
sub-s027,10,RH_AMYG,279,-3.95014378225504
sub-s027,11,RH_AMYG,279,-0.470278004262393
sub-s027,12,RH_AMYG,279,-1.81490909159985
sub-s027,13,RH_AMYG,279,-0.955964035204341
sub-s027,14,RH_AMYG,279,-3.20583541301416
sub-s027,15,RH_AMYG,279,-0.893619953063867
sub-s027,16,RH_AMYG,279,-3.80490555386576
sub-s027,17,RH_AMYG,279,1.27748017272107
sub-s027,18,RH_AMYG,279,-0.770718147490828
sub-s027,19,RH_AMYG,279,-1.74890278883305
sub-s027,20,RH_AMYG,279,0.588721808369896
sub-s027,21,RH_AMYG,279,-0.473594703901839
sub-s027,22,RH_AMYG,279,-0.698450460895649
sub-s027,23,RH_AMYG,279,-3.4221366483144
sub-s027,24,RH_AMYG,279,-5.40895326894885
sub-s027,25,RH_AMYG,279,0.0668156041775615
sub-s027,26,RH_AMYG,279,-2.36181960555334
sub-s027,27,RH_AMYG,279,-6.22855945332076
sub-s027,28,RH_AMYG,279,-3.33817948390292
sub-s027,29,RH_AMYG,279,-0.192952522666671
sub-s027,30,RH_AMYG,279,-1.66171892166245
sub-s027,31,RH_AMYG,279,-4.48448546468464
sub-s027,32,RH_AMYG,279,-2.79542639748757
sub-s027,33,RH_AMYG,279,1.02381961903531
sub-s027,34,RH_AMYG,279,-2.11712506051613
sub-s027,35,RH_AMYG,279,-2.87535694594024
sub-s027,36,RH_AMYG,279,-1.83140376206875
sub-s027,37,RH_AMYG,279,0.241792679220224
