SubID,Trial,ROI,nVox,MeanBeta
sub-s027,1,LH_AMYG,245,2.13536473255681
sub-s027,2,LH_AMYG,245,-2.04850036754292
sub-s027,3,LH_AMYG,245,-0.698912493519637
sub-s027,4,LH_AMYG,245,1.23173655923076
sub-s027,5,LH_AMYG,245,2.49055428445643
sub-s027,6,LH_AMYG,245,-1.44956657547428
sub-s027,7,LH_AMYG,245,0.164859666234376
sub-s027,8,LH_AMYG,245,1.48470142937588
sub-s027,9,LH_AMYG,245,3.11780326558961
sub-s027,10,LH_AMYG,245,-0.722057931520501
sub-s027,11,LH_AMYG,245,-1.76933769071285
sub-s027,12,LH_AMYG,245,1.09329386699032
sub-s027,13,LH_AMYG,245,1.40898193885021
sub-s027,14,LH_AMYG,245,-1.99730637134338
sub-s027,15,LH_AMYG,245,0.730123726369775
sub-s027,16,LH_AMYG,245,-0.336535625078012
sub-s027,17,LH_AMYG,245,-2.01215340651724
sub-s027,18,LH_AMYG,245,2.47714441998729
sub-s027,19,LH_AMYG,245,2.15862542306624
sub-s027,20,LH_AMYG,245,0.87983842516432
sub-s027,21,LH_AMYG,245,-0.571088816164708
sub-s027,22,LH_AMYG,245,3.09689855697204
sub-s027,23,LH_AMYG,245,0.40274393260479
sub-s027,24,LH_AMYG,245,-0.156526437827519
sub-s027,25,LH_AMYG,245,1.32571569232612
sub-s027,26,LH_AMYG,245,0.352942743106764
sub-s027,27,LH_AMYG,245,0.651652479992837
sub-s027,28,LH_AMYG,245,-2.78302789181851
sub-s027,29,LH_AMYG,245,-3.42445708244127
sub-s027,30,LH_AMYG,245,2.49985292556943
sub-s027,31,LH_AMYG,245,-2.953679506207
sub-s027,32,LH_AMYG,245,-3.43249417747162
sub-s027,33,LH_AMYG,245,-1.89007278169904
sub-s027,34,LH_AMYG,245,0.0840144172881027
sub-s027,35,LH_AMYG,245,-1.80975781681054
sub-s027,36,LH_AMYG,245,0.976368941374275
sub-s027,37,LH_AMYG,245,3.48309187683828
sub-s027,38,LH_AMYG,245,0.467410238604156
sub-s027,39,LH_AMYG,245,-4.82393988218843
sub-s027,40,LH_AMYG,245,1.55330081317498
sub-s027,41,LH_AMYG,245,2.78217385240964
sub-s027,42,LH_AMYG,245,-0.619136557040014
sub-s027,43,LH_AMYG,245,-4.10839347298143
sub-s027,44,LH_AMYG,245,-6.71356507421148
sub-s027,45,LH_AMYG,245,2.52101813506107
sub-s027,46,LH_AMYG,245,-4.47970966137185
sub-s027,47,LH_AMYG,245,0.983393673994103
sub-s027,48,LH_AMYG,245,3.80080257350085
sub-s027,49,LH_AMYG,245,2.34695631934672
sub-s027,50,LH_AMYG,245,3.26554362085477
sub-s027,51,LH_AMYG,245,-13.3971814255325
sub-s027,52,LH_AMYG,245,-1.56666366533965
sub-s027,53,LH_AMYG,245,1.61237915115697
sub-s027,54,LH_AMYG,245,0.264191213903987
sub-s027,55,LH_AMYG,245,-2.58576111680999
sub-s027,56,LH_AMYG,245,-0.00282559201729541
sub-s027,57,LH_AMYG,245,1.12443022752295
sub-s027,58,LH_AMYG,245,0.468002961788859
sub-s027,59,LH_AMYG,245,2.25666001490792
sub-s027,60,LH_AMYG,245,0.823313766885169
sub-s027,61,LH_AMYG,245,0.94323715923392
sub-s027,62,LH_AMYG,245,1.88254178738107
sub-s027,63,LH_AMYG,245,-1.40719976776793
sub-s027,64,LH_AMYG,245,-0.582738942698557
sub-s027,65,LH_AMYG,245,-3.40971240324481
sub-s027,66,LH_AMYG,245,0.966338515661809
sub-s027,67,LH_AMYG,245,-0.169117505483481
sub-s027,68,LH_AMYG,245,0.410112890061371
sub-s027,69,LH_AMYG,245,0.741854836989422
sub-s027,70,LH_AMYG,245,1.29975955910525
sub-s027,71,LH_AMYG,245,-1.71027842072808
sub-s027,72,LH_AMYG,245,-3.06764512673324
sub-s027,73,LH_AMYG,245,0.807278688753746
sub-s027,74,LH_AMYG,245,-3.10623597496626
sub-s027,75,LH_AMYG,245,4.2353625871089
sub-s027,76,LH_AMYG,245,0.472984442844683
sub-s027,77,LH_AMYG,245,-5.33121404261613
sub-s027,78,LH_AMYG,245,-3.97358662954399
sub-s027,79,LH_AMYG,245,-1.65591726400414
sub-s027,80,LH_AMYG,245,1.94717312132826
sub-s027,81,LH_AMYG,245,1.297813005715
sub-s027,82,LH_AMYG,245,-1.65307098104029
sub-s027,83,LH_AMYG,245,1.79914990186083
sub-s027,84,LH_AMYG,245,3.55960092945975
sub-s027,85,LH_AMYG,245,-0.956488571832983
sub-s027,86,LH_AMYG,245,-3.70454485446823
sub-s027,87,LH_AMYG,245,-2.55166360007561
sub-s027,88,LH_AMYG,245,-5.49527868148015
sub-s027,89,LH_AMYG,245,3.20448718657907
sub-s027,90,LH_AMYG,245,-3.78278445601463
sub-s027,91,LH_AMYG,245,2.99806160711284
sub-s027,92,LH_AMYG,245,4.21841736885966
sub-s027,93,LH_AMYG,245,-2.40485661893475
sub-s027,94,LH_AMYG,245,-2.26298510213288
sub-s027,95,LH_AMYG,245,5.42432815277455
sub-s027,96,LH_AMYG,245,-2.27575886632715
sub-s027,97,LH_AMYG,245,2.03426558417933
sub-s027,98,LH_AMYG,245,-1.57421368815157
sub-s027,99,LH_AMYG,245,2.75911937450268
sub-s027,100,LH_AMYG,245,-0.0433955997228622
sub-s027,101,LH_AMYG,245,0.235289569533601
sub-s027,102,LH_AMYG,245,1.55937738586597
sub-s027,103,LH_AMYG,245,3.79799935948484
sub-s027,104,LH_AMYG,245,2.19055973583338
sub-s027,105,LH_AMYG,245,2.11658049713136
sub-s027,106,LH_AMYG,245,-0.336557173850585
sub-s027,107,LH_AMYG,245,-0.428836889234276
sub-s027,108,LH_AMYG,245,-0.0477136367133686
sub-s027,109,LH_AMYG,245,5.24869365807699
sub-s027,110,LH_AMYG,245,2.921180078201
sub-s027,111,LH_AMYG,245,-1.12145786121944
sub-s027,112,LH_AMYG,245,-1.34361048331674
sub-s027,113,LH_AMYG,245,1.72037246913022
sub-s027,114,LH_AMYG,245,3.63879812803804
sub-s027,115,LH_AMYG,245,1.93919703546835
sub-s027,116,LH_AMYG,245,-2.79236576763951
sub-s027,117,LH_AMYG,245,1.60255469013842
sub-s027,118,LH_AMYG,245,-0.919332832691013
sub-s027,119,LH_AMYG,245,5.15542397207143
sub-s027,120,LH_AMYG,245,4.75446485110692
sub-s027,121,LH_AMYG,245,1.7237380475414
sub-s027,122,LH_AMYG,245,1.18573545156693
sub-s027,123,LH_AMYG,245,1.5021607024329
sub-s027,124,LH_AMYG,245,-1.29973623205394
sub-s027,125,LH_AMYG,245,4.63645830168484
sub-s027,126,LH_AMYG,245,0.758777913025447
sub-s027,127,LH_AMYG,245,-0.368701122601859
sub-s027,128,LH_AMYG,245,3.07896675041744
sub-s027,129,LH_AMYG,245,-2.47290501822622
sub-s027,130,LH_AMYG,245,-1.80965769607194
sub-s027,131,LH_AMYG,245,3.03993566130877
sub-s027,132,LH_AMYG,245,1.49461494341721
sub-s027,133,LH_AMYG,245,1.52284882497423
sub-s027,134,LH_AMYG,245,4.06713710995961
sub-s027,135,LH_AMYG,245,5.57535332216292
sub-s027,136,LH_AMYG,245,0.993291004701537
sub-s027,137,LH_AMYG,245,1.53886610494584
sub-s027,138,LH_AMYG,245,-0.457185959679132
sub-s027,139,LH_AMYG,245,2.03711229912481
sub-s027,140,LH_AMYG,245,-0.250104077031114
sub-s027,141,LH_AMYG,245,0.188397505453655
sub-s027,142,LH_AMYG,245,-0.500027054373403
sub-s027,143,LH_AMYG,245,2.58779853821865
sub-s027,144,LH_AMYG,245,7.96722813910063
sub-s027,1,RH_AMYG,279,2.92587197176765
sub-s027,2,RH_AMYG,279,0.723551414239364
sub-s027,3,RH_AMYG,279,3.90268186829637
sub-s027,4,RH_AMYG,279,0.176911436154851
sub-s027,5,RH_AMYG,279,2.72095863360872
sub-s027,6,RH_AMYG,279,2.51265051800718
sub-s027,7,RH_AMYG,279,0.842897873669763
sub-s027,8,RH_AMYG,279,3.92880083114162
sub-s027,9,RH_AMYG,279,2.22308190887974
