SubID,Trial,ROI,nVox,MeanBeta
sub-s034,1,LH_AMYG,245,2.18187380471096
sub-s034,2,LH_AMYG,245,0.950304776825467
sub-s034,3,LH_AMYG,245,4.7997507650025
sub-s034,4,LH_AMYG,245,-0.71326428638125
sub-s034,5,LH_AMYG,245,3.21755498034537
sub-s034,6,LH_AMYG,245,-1.82776082062295
sub-s034,7,LH_AMYG,245,-0.145119413094861
sub-s034,8,LH_AMYG,245,-0.359830880807523
sub-s034,9,LH_AMYG,245,1.31151513698302
sub-s034,10,LH_AMYG,245,-0.52560084627143
sub-s034,11,LH_AMYG,245,0.0904807386349659
sub-s034,12,LH_AMYG,245,-0.836522741326872
sub-s034,13,LH_AMYG,245,2.06468500847719
sub-s034,14,LH_AMYG,245,4.24791643154256
sub-s034,15,LH_AMYG,245,3.34260701892936
sub-s034,16,LH_AMYG,245,1.53986758366227
sub-s034,17,LH_AMYG,245,1.42816384714477
sub-s034,18,LH_AMYG,245,-0.872709235564178
sub-s034,19,LH_AMYG,245,1.66458137731201
sub-s034,20,LH_AMYG,245,0.600642063985674
sub-s034,21,LH_AMYG,245,-1.66005158732284
sub-s034,22,LH_AMYG,245,1.91314223037691
sub-s034,23,LH_AMYG,245,-0.118314223508446
sub-s034,24,LH_AMYG,245,0.291916062956562
sub-s034,25,LH_AMYG,245,5.16927903443575
sub-s034,26,LH_AMYG,245,1.29862955461959
sub-s034,27,LH_AMYG,245,-0.350249462772389
sub-s034,28,LH_AMYG,245,1.62248743197748
sub-s034,29,LH_AMYG,245,0.586969730105935
sub-s034,30,LH_AMYG,245,2.68464078378617
sub-s034,31,LH_AMYG,245,2.02688338120981
sub-s034,32,LH_AMYG,245,0.513635191758524
sub-s034,33,LH_AMYG,245,2.56064070289841
sub-s034,34,LH_AMYG,245,3.29284428396091
sub-s034,35,LH_AMYG,245,2.11342557133461
sub-s034,36,LH_AMYG,245,4.93970920296044
sub-s034,37,LH_AMYG,245,1.61766192286979
sub-s034,38,LH_AMYG,245,1.36469634178342
sub-s034,39,LH_AMYG,245,-2.49273187147111
sub-s034,40,LH_AMYG,245,2.01340707847658
sub-s034,41,LH_AMYG,245,1.19112858085
sub-s034,42,LH_AMYG,245,2.35091686340011
sub-s034,43,LH_AMYG,245,0.370834818573631
sub-s034,44,LH_AMYG,245,2.51211066625404
sub-s034,45,LH_AMYG,245,-2.69236395438107
sub-s034,46,LH_AMYG,245,4.72800165997932
sub-s034,47,LH_AMYG,245,1.58269325170134
sub-s034,48,LH_AMYG,245,2.44972925812614
sub-s034,49,LH_AMYG,245,1.30137141565507
sub-s034,50,LH_AMYG,245,1.58185885542509
sub-s034,51,LH_AMYG,245,1.63656725317848
sub-s034,52,LH_AMYG,245,1.57615427451626
sub-s034,53,LH_AMYG,245,1.11412927970594
sub-s034,54,LH_AMYG,245,1.53106956685684
sub-s034,55,LH_AMYG,245,-1.25406083210314
sub-s034,56,LH_AMYG,245,2.0319535910475
sub-s034,57,LH_AMYG,245,-1.10591341195894
sub-s034,58,LH_AMYG,245,1.29024966902347
sub-s034,59,LH_AMYG,245,4.09734180785563
sub-s034,60,LH_AMYG,245,6.10853560235427
sub-s034,61,LH_AMYG,245,4.50698686245145
sub-s034,62,LH_AMYG,245,0.187875419611834
sub-s034,63,LH_AMYG,245,-2.46730509617803
sub-s034,64,LH_AMYG,245,2.69999427105091
sub-s034,65,LH_AMYG,245,1.15726455653999
sub-s034,66,LH_AMYG,245,0.0484981932088124
sub-s034,67,LH_AMYG,245,0.23648122064009
sub-s034,68,LH_AMYG,245,0.618742035511805
sub-s034,69,LH_AMYG,245,-0.646956360036013
sub-s034,70,LH_AMYG,245,0.364489300632659
sub-s034,71,LH_AMYG,245,3.35685480376896
sub-s034,72,LH_AMYG,245,1.13526006233023
sub-s034,73,LH_AMYG,245,4.68751983456504
sub-s034,74,LH_AMYG,245,0.96103762003251
sub-s034,75,LH_AMYG,245,1.98303808986532
sub-s034,76,LH_AMYG,245,-3.53955966942773
sub-s034,77,LH_AMYG,245,1.84864871631167
sub-s034,78,LH_AMYG,245,1.35419168485215
sub-s034,79,LH_AMYG,245,0.67815906723239
sub-s034,80,LH_AMYG,245,0.886245699717226
sub-s034,81,LH_AMYG,245,1.58380851531211
sub-s034,82,LH_AMYG,245,2.31252608611724
sub-s034,83,LH_AMYG,245,4.10882642183985
sub-s034,84,LH_AMYG,245,2.70632419884205
sub-s034,85,LH_AMYG,245,2.52228815689379
sub-s034,86,LH_AMYG,245,-2.23896084005127
sub-s034,87,LH_AMYG,245,0.158492044040373
sub-s034,88,LH_AMYG,245,0.276564059908293
sub-s034,89,LH_AMYG,245,3.62039660566619
sub-s034,90,LH_AMYG,245,5.67176091401857
sub-s034,91,LH_AMYG,245,3.72170199362599
sub-s034,92,LH_AMYG,245,-0.0220981640171032
sub-s034,93,LH_AMYG,245,0.593996177644146
sub-s034,94,LH_AMYG,245,3.27545693705467
sub-s034,95,LH_AMYG,245,2.84642544078584
sub-s034,96,LH_AMYG,245,-1.05644125762272
sub-s034,97,LH_AMYG,245,5.08440788789671
sub-s034,98,LH_AMYG,245,1.7120858138085
sub-s034,99,LH_AMYG,245,-1.11786421385347
sub-s034,100,LH_AMYG,245,-2.58483090309464
sub-s034,101,LH_AMYG,245,2.89326158319505
sub-s034,102,LH_AMYG,245,-2.07245033869938
sub-s034,103,LH_AMYG,245,-5.26636288776918
sub-s034,104,LH_AMYG,245,0.227719780878753
sub-s034,105,LH_AMYG,245,5.79760386134897
sub-s034,106,LH_AMYG,245,-4.95839026059423
sub-s034,107,LH_AMYG,245,-1.28098915103747
sub-s034,108,LH_AMYG,245,0.757349242479986
sub-s034,109,LH_AMYG,245,-0.163816279537824
sub-s034,110,LH_AMYG,245,0.635508626684242
sub-s034,111,LH_AMYG,245,-0.831840865009902
sub-s034,112,LH_AMYG,245,0.102100897899696
sub-s034,113,LH_AMYG,245,3.71925341459561
sub-s034,114,LH_AMYG,245,0.928555934526482
sub-s034,115,LH_AMYG,245,1.6468159184468
sub-s034,116,LH_AMYG,245,-0.422094952087013
sub-s034,117,LH_AMYG,245,0.773020007811031
sub-s034,118,LH_AMYG,245,-1.69010520364557
sub-s034,119,LH_AMYG,245,-2.0410231780793
sub-s034,120,LH_AMYG,245,0.506140737098699
sub-s034,121,LH_AMYG,245,-0.543056877398369
sub-s034,122,LH_AMYG,245,1.22459772783237
sub-s034,123,LH_AMYG,245,-0.257711960588183
sub-s034,124,LH_AMYG,245,-0.42535242876228
sub-s034,125,LH_AMYG,245,-0.233162323218219
sub-s034,126,LH_AMYG,245,-1.17499650499156
sub-s034,127,LH_AMYG,245,-2.03853804032717
sub-s034,128,LH_AMYG,245,-1.71719595669503
sub-s034,129,LH_AMYG,245,4.52846862004728
sub-s034,130,LH_AMYG,245,-1.6106810549084
sub-s034,131,LH_AMYG,245,-0.0863813849888286
sub-s034,132,LH_AMYG,245,-1.79507167193354
sub-s034,133,LH_AMYG,245,0.687993909296941
sub-s034,134,LH_AMYG,245,-0.144927709781546
sub-s034,135,LH_AMYG,245,-2.35765863690449
sub-s034,136,LH_AMYG,245,-2.56770939048456
sub-s034,137,LH_AMYG,245,-0.0512796896148701
sub-s034,138,LH_AMYG,245,3.11572000927159
sub-s034,139,LH_AMYG,245,-0.699542718076584
sub-s034,140,LH_AMYG,245,-1.499493825314
sub-s034,141,LH_AMYG,245,0.281285605108251
sub-s034,142,LH_AMYG,245,-1.34737031718678
sub-s034,143,LH_AMYG,245,-0.0584998108598651
sub-s034,144,LH_AMYG,245,-2.18768689279654
sub-s034,1,RH_AMYG,279,3.65329797902415
sub-s034,2,RH_AMYG,279,1.61812824914799
sub-s034,3,RH_AMYG,279,5.44594621321847
sub-s034,4,RH_AMYG,279,4.74080102665076
sub-s034,5,RH_AMYG,279,-0.693096384441974
sub-s034,6,RH_AMYG,279,1.6423010880922
sub-s034,7,RH_AMYG,279,1.12355732060568
sub-s034,8,RH_AMYG,279,1.63153156889169
sub-s034,9,RH_AMYG,279,0.0810343249063391
sub-s034,10,RH_AMYG,279,2.74969837726444
sub-s034,11,RH_AMYG,279,1.52179011088332
sub-s034,12,RH_AMYG,279,2.0870310443597
sub-s034,13,RH_AMYG,279,6.04061772192638
sub-s034,14,RH_AMYG,279,4.34402490779757
sub-s034,15,RH_AMYG,279,3.24698662779237
sub-s034,16,RH_AMYG,279,1.60058897968689
sub-s034,17,RH_AMYG,279,0.188785716196969
sub-s034,18,RH_AMYG,279,2.94223766680473
sub-s034,19,RH_AMYG,279,2.72187056858093
sub-s034,20,RH_AMYG,279,0.602670831665877
sub-s034,21,RH_AMYG,279,1.75955223914329
sub-s034,22,RH_AMYG,279,3.09222787290171
sub-s034,23,RH_AMYG,279,1.35012224647734
sub-s034,24,RH_AMYG,279,5.22607120868206
sub-s034,25,RH_AMYG,279,2.26004691807199
sub-s034,26,RH_AMYG,279,2.2993105625914
sub-s034,27,RH_AMYG,279,-0.744927171684508
sub-s034,28,RH_AMYG,279,3.7227283605311
sub-s034,29,RH_AMYG,279,-0.892377977129272
sub-s034,30,RH_AMYG,279,1.54135770372058
sub-s034,31,RH_AMYG,279,2.39538740798644
sub-s034,32,RH_AMYG,279,-0.136535150082415
sub-s034,33,RH_AMYG,279,-2.84446427891011
sub-s034,34,RH_AMYG,279,2.35681863182548
sub-s034,35,RH_AMYG,279,3.29791214389186
sub-s034,36,RH_AMYG,279,2.68533736550146
sub-s034,37,RH_AMYG,279,2.58650821275128
sub-s034,38,RH_AMYG,279,1.2731498956253
sub-s034,39,RH_AMYG,279,1.17585739015358
sub-s034,40,RH_AMYG,279,1.01518329877847
sub-s034,41,RH_AMYG,279,-1.37896535715162
sub-s034,42,RH_AMYG,279,1.39438464502991
sub-s034,43,RH_AMYG,279,3.59348015396398
sub-s034,44,RH_AMYG,279,2.92580139870158
sub-s034,45,RH_AMYG,279,0.694178660443607
sub-s034,46,RH_AMYG,279,1.88228759671458
sub-s034,47,RH_AMYG,279,0.665426474919135
sub-s034,48,RH_AMYG,279,0.328499158423754
sub-s034,49,RH_AMYG,279,3.98016756351062
sub-s034,50,RH_AMYG,279,3.2114586110851
sub-s034,51,RH_AMYG,279,3.23352564016764
sub-s034,52,RH_AMYG,279,2.61667857914629
sub-s034,53,RH_AMYG,279,1.18296535232348
sub-s034,54,RH_AMYG,279,2.43102674103445
sub-s034,55,RH_AMYG,279,3.33797926132611
sub-s034,56,RH_AMYG,279,0.615236026723953
sub-s034,57,RH_AMYG,279,-0.756005911597161
sub-s034,58,RH_AMYG,279,4.12076773574596
sub-s034,59,RH_AMYG,279,5.94482749882137
sub-s034,60,RH_AMYG,279,3.8792498324694
sub-s034,61,RH_AMYG,279,5.06703752594396
sub-s034,62,RH_AMYG,279,1.15080085092334
sub-s034,63,RH_AMYG,279,2.69192929262131
sub-s034,64,RH_AMYG,279,4.03096143835922
sub-s034,65,RH_AMYG,279,1.37691826323935
sub-s034,66,RH_AMYG,279,2.90091269530062
sub-s034,67,RH_AMYG,279,3.77845946626611
sub-s034,68,RH_AMYG,279,0.323475909809912
sub-s034,69,RH_AMYG,279,-1.38008396261402
