SubID,Run,Trial,Segment,Beta
sub-s020,1,1,Anterior,-3.83852792196582
sub-s020,1,2,Anterior,-1.86136991329249
sub-s020,1,3,Anterior,-1.390899914915
sub-s020,1,4,Anterior,-1.1791003800444
sub-s020,1,5,Anterior,-1.34571576751466
sub-s020,1,6,Anterior,1.70020564734118
sub-s020,1,7,Anterior,-1.84519649593811
sub-s020,1,8,Anterior,-1.52095501136974
sub-s020,1,9,Anterior,0.882713384169146
sub-s020,1,10,Anterior,-4.10057781268729
sub-s020,1,11,Anterior,-5.27665072414509
sub-s020,1,12,Anterior,-5.47290622430846
sub-s020,1,13,Anterior,-1.50659243923014
sub-s020,1,14,Anterior,1.3238661749879
sub-s020,1,15,Anterior,-2.74428270593649
sub-s020,1,16,Anterior,-1.30636158776356
sub-s020,1,17,Anterior,-0.864303832404255
sub-s020,1,18,Anterior,-1.62323992165578
sub-s020,1,19,Anterior,0.140351996704088
sub-s020,1,20,Anterior,-3.21900496498598
sub-s020,1,21,Anterior,-2.7551992994135
sub-s020,1,22,Anterior,-1.65188451498989
sub-s020,1,23,Anterior,-0.63106286362177
sub-s020,1,24,Anterior,-1.23146262740701
sub-s020,2,1,Anterior,-3.38452408814659
sub-s020,2,2,Anterior,-1.55272585619998
sub-s020,2,3,Anterior,1.88888170748828
sub-s020,2,4,Anterior,-0.885362598923891
sub-s020,2,5,Anterior,2.64510069645154
sub-s020,2,6,Anterior,0.897379411645392
sub-s020,2,7,Anterior,-3.23500717788692
sub-s020,2,8,Anterior,0.00461596111214258
sub-s020,2,9,Anterior,1.80979984904814
sub-s020,2,10,Anterior,-0.0517111760147703
sub-s020,2,11,Anterior,-1.15242766922082
sub-s020,2,12,Anterior,-0.641453843079204
sub-s020,2,13,Anterior,-0.107048800321129
sub-s020,2,14,Anterior,0.0454140168319388
sub-s020,2,15,Anterior,0.409858951723673
sub-s020,2,16,Anterior,-1.53873351438925
sub-s020,2,17,Anterior,-1.3216715262279
sub-s020,2,18,Anterior,-0.378717059420982
sub-s020,2,19,Anterior,1.7139496656695
sub-s020,2,20,Anterior,4.00604946935564
sub-s020,2,21,Anterior,-0.542075373707491
sub-s020,2,22,Anterior,-1.76795777896555
sub-s020,2,23,Anterior,-1.43395051381331
sub-s020,2,24,Anterior,0.820770624850884
sub-s020,3,1,Anterior,-2.19477770948873
sub-s020,3,2,Anterior,2.26528316409123
sub-s020,3,3,Anterior,-1.45336022175379
sub-s020,3,4,Anterior,2.99867367853479
sub-s020,3,5,Anterior,0.722229113575162
sub-s020,3,6,Anterior,-0.221317521538737
sub-s020,3,7,Anterior,-0.227368506231928
sub-s020,3,8,Anterior,1.0823546642271
sub-s020,3,9,Anterior,-0.734652831999025
sub-s020,3,10,Anterior,0.294351786738489
sub-s020,3,11,Anterior,-0.169919533912486
sub-s020,3,12,Anterior,0.851478507587065
sub-s020,3,13,Anterior,-2.953351154772
sub-s020,3,14,Anterior,2.03468839881745
sub-s020,3,15,Anterior,3.07063981321284
sub-s020,3,16,Anterior,1.07168995958518
sub-s020,3,17,Anterior,2.04402702525864
sub-s020,3,18,Anterior,1.02838264808922
sub-s020,3,19,Anterior,-3.09748593154477
sub-s020,3,20,Anterior,-1.27491790104688
sub-s020,3,21,Anterior,1.13920694262516
sub-s020,3,22,Anterior,2.04014170827435
sub-s020,3,23,Anterior,1.02615474979204
sub-s020,3,24,Anterior,-0.812007431024156
sub-s020,4,1,Anterior,0.388387057191988
sub-s020,4,2,Anterior,1.22715868735762
sub-s020,4,3,Anterior,-2.9509807838604
sub-s020,4,4,Anterior,-0.201902406786122
sub-s020,4,5,Anterior,3.36935629824373
sub-s020,4,6,Anterior,1.08813057589814
sub-s020,4,7,Anterior,-1.28599657144064
sub-s020,4,8,Anterior,-1.6524494655612
sub-s020,4,9,Anterior,1.22262725443011
sub-s020,4,10,Anterior,-0.619656903911533
sub-s020,4,11,Anterior,0.724148074210417
sub-s020,4,12,Anterior,0.36954303655198
sub-s020,4,13,Anterior,-0.35906716099963
sub-s020,4,14,Anterior,-0.553885009654654
sub-s020,4,15,Anterior,-0.547164916568171
sub-s020,4,16,Anterior,2.14943164344726
sub-s020,4,17,Anterior,2.62933456485834
sub-s020,4,18,Anterior,-1.66349459491004
sub-s020,4,19,Anterior,0.307955579794338
sub-s020,4,20,Anterior,0.648363697380433
sub-s020,4,21,Anterior,1.18474088276063
sub-s020,4,22,Anterior,0.449057224132802
sub-s020,4,23,Anterior,-2.11125592542131
sub-s020,4,24,Anterior,1.5095890312554
sub-s020,5,1,Anterior,0.276800453481151
sub-s020,5,2,Anterior,1.17862808277331
sub-s020,5,3,Anterior,0.786751941134169
sub-s020,5,4,Anterior,1.898155102582
sub-s020,5,5,Anterior,1.17371055713999
sub-s020,5,6,Anterior,1.53110965789576
sub-s020,5,7,Anterior,0.257544318289776
sub-s020,5,8,Anterior,1.69318976051106
sub-s020,5,9,Anterior,-1.90607561963058
sub-s020,5,10,Anterior,2.72571916481843
sub-s020,5,11,Anterior,0.54695539863977
sub-s020,5,12,Anterior,0.25502434381988
sub-s020,5,13,Anterior,1.92638032264038
sub-s020,5,14,Anterior,1.45589293309344
sub-s020,5,15,Anterior,1.25464787395629
sub-s020,5,16,Anterior,4.14087141056855
sub-s020,5,17,Anterior,-1.03369298904407
sub-s020,5,18,Anterior,0.460230226318042
sub-s020,5,19,Anterior,3.47408031390571
sub-s020,5,20,Anterior,-3.52996504202303
sub-s020,5,21,Anterior,2.50631474424911
sub-s020,5,22,Anterior,-0.379778434469448
sub-s020,5,23,Anterior,0.530499593083836
sub-s020,5,24,Anterior,1.89465817954482
sub-s020,6,1,Anterior,-0.116328334282493
sub-s020,6,2,Anterior,-3.23456951833474
sub-s020,6,3,Anterior,-2.77322370048643
sub-s020,6,4,Anterior,-0.357266265020622
sub-s020,6,5,Anterior,-2.82837532088161
sub-s020,6,6,Anterior,-0.765102227892333
sub-s020,6,7,Anterior,0.489163111698458
sub-s020,6,8,Anterior,-0.464433763448785
sub-s020,6,9,Anterior,0.650556323564293
sub-s020,6,10,Anterior,-1.49083911118013
sub-s020,6,11,Anterior,-2.68287214521712
sub-s020,6,12,Anterior,1.06667046700188
sub-s020,6,13,Anterior,-1.24892469774174
sub-s020,6,14,Anterior,0.726971314265961
sub-s020,6,15,Anterior,-2.7412466437412
sub-s020,6,16,Anterior,-5.45645307743452
sub-s020,6,17,Anterior,-2.00484934153898
sub-s020,6,18,Anterior,0.873101904049395
sub-s020,6,19,Anterior,1.1184516047332
sub-s020,6,20,Anterior,-1.44584003375555
sub-s020,6,21,Anterior,-1.15524080770499
sub-s020,6,22,Anterior,1.17003165757874
sub-s020,6,23,Anterior,-2.20024312975082
sub-s020,6,24,Anterior,-2.42748757276109
sub-s020,1,1,Posterior,-1.38333140977143
sub-s020,1,2,Posterior,-1.4599020492941
sub-s020,1,3,Posterior,-0.678009327581
sub-s020,1,4,Posterior,-1.14235238423931
sub-s020,1,5,Posterior,-0.190553733015777
sub-s020,1,6,Posterior,1.39052659119659
sub-s020,1,7,Posterior,-1.21441875032025
sub-s020,1,8,Posterior,-1.45907179109528
sub-s020,1,9,Posterior,-1.51982510059097
sub-s020,1,10,Posterior,-2.54611851537176
sub-s020,1,11,Posterior,-1.50499550198792
sub-s020,1,12,Posterior,-3.37393599454425
sub-s020,1,13,Posterior,-0.168406050924068
sub-s020,1,14,Posterior,-0.851753425518415
sub-s020,1,15,Posterior,-0.106414270295478
sub-s020,1,16,Posterior,-1.29179403751633
sub-s020,1,17,Posterior,0.49629585211497
sub-s020,1,18,Posterior,-2.61709565758833
sub-s020,1,19,Posterior,0.414365768176803
sub-s020,1,20,Posterior,0.0596414738666474
sub-s020,1,21,Posterior,0.207349367103991
sub-s020,1,22,Posterior,-1.38713560949675
sub-s020,1,23,Posterior,-2.65648580181049
sub-s020,1,24,Posterior,-2.35915957574329
sub-s020,2,1,Posterior,-2.40432522896789
sub-s020,2,2,Posterior,-2.25151415284355
sub-s020,2,3,Posterior,0.237752238312504
sub-s020,2,4,Posterior,-0.0369204439606534
sub-s020,2,5,Posterior,0.376071921138037
sub-s020,2,6,Posterior,-0.815774553323508
sub-s020,2,7,Posterior,-1.47508577425173
sub-s020,2,8,Posterior,-0.995732418021643
sub-s020,2,9,Posterior,-1.12272811567515
sub-s020,2,10,Posterior,-0.554000509399201
sub-s020,2,11,Posterior,-1.88958645468106
sub-s020,2,12,Posterior,-2.49602141576647
sub-s020,2,13,Posterior,0.0334328154477695
sub-s020,2,14,Posterior,-1.98528118111801
sub-s020,2,15,Posterior,-1.76529944178053
sub-s020,2,16,Posterior,-1.25472284276278
sub-s020,2,17,Posterior,-1.15415072997496
sub-s020,2,18,Posterior,-0.346018721489436
sub-s020,2,19,Posterior,1.17111780102736
sub-s020,2,20,Posterior,0.223090125383737
sub-s020,2,21,Posterior,-1.97672019094277
sub-s020,2,22,Posterior,-1.17506169989833
sub-s020,2,23,Posterior,-2.04384815699297
sub-s020,2,24,Posterior,-2.05032260725554
sub-s020,3,1,Posterior,-1.08301014971196
sub-s020,3,2,Posterior,-0.167876059357317
sub-s020,3,3,Posterior,0.628922595942289
sub-s020,3,4,Posterior,-0.541882784947225
sub-s020,3,5,Posterior,2.5677407827676
sub-s020,3,6,Posterior,2.33423377728178
sub-s020,3,7,Posterior,-1.46534289643488
sub-s020,3,8,Posterior,-3.60491046949006
sub-s020,3,9,Posterior,-0.733649048234772
sub-s020,3,10,Posterior,-1.0005259574291
sub-s020,3,11,Posterior,2.33660547572784
sub-s020,3,12,Posterior,1.9417428687023
sub-s020,3,13,Posterior,0.738317169329
sub-s020,3,14,Posterior,-2.46995285409703
sub-s020,3,15,Posterior,-0.53495920727693
sub-s020,3,16,Posterior,-0.833373975792156
sub-s020,3,17,Posterior,-0.0878646855158611
sub-s020,3,18,Posterior,1.79928004332366
sub-s020,3,19,Posterior,0.210971375127911
sub-s020,3,20,Posterior,0.0310030466449235
sub-s020,3,21,Posterior,0.64732195586046
sub-s020,3,22,Posterior,0.488799869982214
sub-s020,3,23,Posterior,0.0207880692228739
sub-s020,3,24,Posterior,-2.00946548537955
sub-s020,4,1,Posterior,1.19094282586943
sub-s020,4,2,Posterior,-0.138039514542329
sub-s020,4,3,Posterior,-3.04213012206516
sub-s020,4,4,Posterior,-2.18838270226006
sub-s020,4,5,Posterior,1.457684148793
sub-s020,4,6,Posterior,-0.642176127740754
sub-s020,4,7,Posterior,-3.19214027120768
sub-s020,4,8,Posterior,-1.58682279975469
sub-s020,4,9,Posterior,-0.281466838076327
sub-s020,4,10,Posterior,-0.20529770745612
sub-s020,4,11,Posterior,-1.38523064761586
sub-s020,4,12,Posterior,-1.70756311294155
sub-s020,4,13,Posterior,-2.20891042104862
sub-s020,4,14,Posterior,0.818982680393143
sub-s020,4,15,Posterior,-0.406815011949626
sub-s020,4,16,Posterior,0.0479998230422515
sub-s020,4,17,Posterior,-0.941540796229768
sub-s020,4,18,Posterior,0.44182487799838
sub-s020,4,19,Posterior,-0.398288013641383
sub-s020,4,20,Posterior,-0.646543979580822
sub-s020,4,21,Posterior,1.1008557209769
sub-s020,4,22,Posterior,-2.8237562294202
sub-s020,4,23,Posterior,-1.3659192231112
sub-s020,4,24,Posterior,0.208129499911015
sub-s020,5,1,Posterior,0.0274893639553258
sub-s020,5,2,Posterior,0.717145191497557
sub-s020,5,3,Posterior,0.458643710776332
sub-s020,5,4,Posterior,0.531261992045227
sub-s020,5,5,Posterior,1.56980550626509
sub-s020,5,6,Posterior,0.0439984606570952
sub-s020,5,7,Posterior,0.499501352466227
sub-s020,5,8,Posterior,2.28919995317132
sub-s020,5,9,Posterior,-0.809241221889917
