SubID,Run,Trial,Segment,Beta
sub-s033,1,1,Anterior,-1.49932696799477
sub-s033,1,2,Anterior,-0.135474533939193
sub-s033,1,3,Anterior,-1.86432871078291
sub-s033,1,4,Anterior,-1.85217262666312
sub-s033,1,5,Anterior,-1.72366814519609
sub-s033,1,6,Anterior,-1.91067939732344
sub-s033,1,7,Anterior,-0.727091807842014
sub-s033,1,8,Anterior,-1.75993023929937
sub-s033,1,9,Anterior,-2.27100821563433
sub-s033,1,10,Anterior,3.24549628064157
sub-s033,1,11,Anterior,1.12932158123341
sub-s033,1,12,Anterior,-4.07737837017198
sub-s033,1,13,Anterior,-2.92781330882421
sub-s033,1,14,Anterior,-4.34180917323477
sub-s033,1,15,Anterior,-0.505086226959623
sub-s033,1,16,Anterior,-4.66792216665682
sub-s033,1,17,Anterior,0.985302359736975
sub-s033,1,18,Anterior,0.562132373857762
sub-s033,1,19,Anterior,-2.90146267878252
sub-s033,1,20,Anterior,0.449868195540001
sub-s033,1,21,Anterior,-1.32416263963997
sub-s033,1,22,Anterior,-4.01558999900496
sub-s033,1,23,Anterior,-0.868759654837871
sub-s033,1,24,Anterior,-1.47468630495601
sub-s033,2,1,Anterior,-2.12976411528765
sub-s033,2,2,Anterior,-0.846470647686792
sub-s033,2,3,Anterior,3.33646686158834
sub-s033,2,4,Anterior,-0.316146175715051
sub-s033,2,5,Anterior,1.15650952656964
sub-s033,2,6,Anterior,1.54573463045451
sub-s033,2,7,Anterior,0.820024151234858
sub-s033,2,8,Anterior,-0.869275688043525
sub-s033,2,9,Anterior,0.576660453155778
sub-s033,2,10,Anterior,-1.65346383449111
sub-s033,2,11,Anterior,-1.76911252670951
sub-s033,2,12,Anterior,-0.184837260613999
sub-s033,2,13,Anterior,0.880403410012443
sub-s033,2,14,Anterior,0.256586933005301
sub-s033,2,15,Anterior,0.803226968671586
sub-s033,2,16,Anterior,0.456155368337227
sub-s033,2,17,Anterior,1.98735931431574
sub-s033,2,18,Anterior,1.37634456264336
sub-s033,2,19,Anterior,2.68934257350103
sub-s033,2,20,Anterior,-2.3719579471095
sub-s033,2,21,Anterior,-4.3393859438478
sub-s033,2,22,Anterior,0.637814782905362
sub-s033,2,23,Anterior,1.62252437521613
sub-s033,2,24,Anterior,1.53987947970651
sub-s033,3,1,Anterior,-0.826319742557262
sub-s033,3,2,Anterior,1.5237830253318
sub-s033,3,3,Anterior,-2.15925960501866
sub-s033,3,4,Anterior,-2.36735406164981
sub-s033,3,5,Anterior,-5.45647829134137
sub-s033,3,6,Anterior,-3.19767048420204
sub-s033,3,7,Anterior,0.20137512081513
sub-s033,3,8,Anterior,-3.24080172481556
sub-s033,3,9,Anterior,3.03063310164538
sub-s033,3,10,Anterior,1.30385503406081
sub-s033,3,11,Anterior,-0.698162665109961
sub-s033,3,12,Anterior,-2.4507090640705
sub-s033,3,13,Anterior,-1.84680659613091
sub-s033,3,14,Anterior,-4.76481527681913
sub-s033,3,15,Anterior,3.09948454157359
sub-s033,3,16,Anterior,-4.37929735769848
sub-s033,3,17,Anterior,-0.942816032156829
sub-s033,3,18,Anterior,-0.650736662863393
sub-s033,3,19,Anterior,-3.50438706126184
sub-s033,3,20,Anterior,-3.30795513240681
sub-s033,3,21,Anterior,-1.24157599449973
sub-s033,3,22,Anterior,0.786506336535357
sub-s033,3,23,Anterior,0.0600294276861654
sub-s033,3,24,Anterior,0.187351871045276
sub-s033,4,1,Anterior,1.61487307432558
sub-s033,4,2,Anterior,-1.04699240534777
sub-s033,4,3,Anterior,5.02681572914063
sub-s033,4,4,Anterior,-2.70827668950322
sub-s033,4,5,Anterior,-1.51724284634955
sub-s033,4,6,Anterior,0.133495403348558
sub-s033,4,7,Anterior,2.60717435385431
sub-s033,4,8,Anterior,5.60368335650738
sub-s033,4,9,Anterior,3.08824900627857
sub-s033,4,10,Anterior,2.11178663445096
sub-s033,4,11,Anterior,3.76329555281348
sub-s033,4,12,Anterior,-2.45809120309329
sub-s033,4,13,Anterior,-0.329208972736172
sub-s033,4,14,Anterior,0.738192684542868
sub-s033,4,15,Anterior,0.189616932638831
sub-s033,4,16,Anterior,1.83092242981037
sub-s033,4,17,Anterior,1.15948603792945
sub-s033,4,18,Anterior,0.375161080831482
sub-s033,4,19,Anterior,-1.69863167019831
sub-s033,4,20,Anterior,2.46492419704314
sub-s033,4,21,Anterior,0.881163933704938
sub-s033,4,22,Anterior,2.11830956029195
sub-s033,4,23,Anterior,6.18093327640165
sub-s033,4,24,Anterior,-2.11023454506311
sub-s033,5,1,Anterior,0.897384319063877
sub-s033,5,2,Anterior,-2.84712346423147
sub-s033,5,3,Anterior,-5.16645645860943
sub-s033,5,4,Anterior,-0.0438261740510502
sub-s033,5,5,Anterior,0.908120539910611
sub-s033,5,6,Anterior,-1.25387982641076
sub-s033,5,7,Anterior,-2.35858150037952
sub-s033,5,8,Anterior,-2.59494169194612
sub-s033,5,9,Anterior,-1.10751503435594
sub-s033,5,10,Anterior,-4.4262234141239
sub-s033,5,11,Anterior,2.80761579562339
sub-s033,5,12,Anterior,0.669380091341032
sub-s033,5,13,Anterior,-2.9867711999724
sub-s033,5,14,Anterior,-3.14677537525366
sub-s033,5,15,Anterior,-3.01676789277436
sub-s033,5,16,Anterior,-1.7697542697762
sub-s033,5,17,Anterior,-2.06341168823682
sub-s033,5,18,Anterior,-0.346727908108263
sub-s033,5,19,Anterior,-3.40719364461819
sub-s033,5,20,Anterior,-1.06762815759547
sub-s033,5,21,Anterior,-1.54928671489072
sub-s033,5,22,Anterior,0.499716084488037
sub-s033,5,23,Anterior,0.313466405547153
sub-s033,5,24,Anterior,-2.48464482056818
sub-s033,6,1,Anterior,-0.801596028249591
sub-s033,6,2,Anterior,1.08274912798116
sub-s033,6,3,Anterior,3.01452915977326
sub-s033,6,4,Anterior,-1.59656987585608
sub-s033,6,5,Anterior,-0.0364328670285402
sub-s033,6,6,Anterior,-1.91455002593237
sub-s033,6,7,Anterior,-0.0222233333474686
sub-s033,6,8,Anterior,-0.371195904016795
sub-s033,6,9,Anterior,0.563102388025952
sub-s033,6,10,Anterior,1.38985740789963
sub-s033,6,11,Anterior,0.150459711785398
sub-s033,6,12,Anterior,1.31151580750462
sub-s033,6,13,Anterior,-3.7186361298626
