SubID,Run,Trial,Segment,Beta
sub-s027,1,1,Anterior,-0.217959203426876
sub-s027,1,2,Anterior,-0.221192654830614
sub-s027,1,3,Anterior,-3.39346998617534
sub-s027,1,4,Anterior,1.93454838691339
sub-s027,1,5,Anterior,-1.01599282086376
sub-s027,1,6,Anterior,-4.14891817258491
sub-s027,1,7,Anterior,-0.275874853111623
sub-s027,1,8,Anterior,0.652673367470984
sub-s027,1,9,Anterior,-1.90349922996135
sub-s027,1,10,Anterior,-2.67913341356982
sub-s027,1,11,Anterior,-0.229755972181597
sub-s027,1,12,Anterior,-1.82023782475341
sub-s027,1,13,Anterior,-1.66007154250157
sub-s027,1,14,Anterior,-0.132379055515142
sub-s027,1,15,Anterior,-1.6117379355034
sub-s027,1,16,Anterior,-2.08152671188356
sub-s027,1,17,Anterior,-1.41500712124886
sub-s027,1,18,Anterior,3.47683614760547
sub-s027,1,19,Anterior,-1.05036754723715
sub-s027,1,20,Anterior,-1.81553561820258
sub-s027,1,21,Anterior,1.10633081615332
sub-s027,1,22,Anterior,-4.72941722138034
sub-s027,1,23,Anterior,-1.68428056915441
sub-s027,1,24,Anterior,0.898887997673404
sub-s027,2,1,Anterior,0.389866907269724
sub-s027,2,2,Anterior,-3.5642813117724
sub-s027,2,3,Anterior,-0.16030483698893
sub-s027,2,4,Anterior,-2.20710984196499
sub-s027,2,5,Anterior,2.2556345321899
sub-s027,2,6,Anterior,-3.47951754064378
sub-s027,2,7,Anterior,-3.01662868838156
sub-s027,2,8,Anterior,0.296009744787889
sub-s027,2,9,Anterior,-1.29347181918039
sub-s027,2,10,Anterior,-0.707898878627607
sub-s027,2,11,Anterior,-0.537056274772171
sub-s027,2,12,Anterior,0.311822226871887
sub-s027,2,13,Anterior,-1.6452582491742
sub-s027,2,14,Anterior,-0.600515642443732
sub-s027,2,15,Anterior,-0.931058691994798
sub-s027,2,16,Anterior,2.39884151638516
sub-s027,2,17,Anterior,-0.695867977871169
sub-s027,2,18,Anterior,-1.58092155368368
sub-s027,2,19,Anterior,-2.95732678717843
sub-s027,2,20,Anterior,-1.81771459929822
sub-s027,2,21,Anterior,-3.1159527868393
sub-s027,2,22,Anterior,-1.64326854587923
sub-s027,2,23,Anterior,0.987757751537907
sub-s027,2,24,Anterior,2.56848092468816
sub-s027,3,1,Anterior,1.23441243237786
sub-s027,3,2,Anterior,-6.22765806701875
sub-s027,3,3,Anterior,-1.23314276021425
sub-s027,3,4,Anterior,1.39248880315121
sub-s027,3,5,Anterior,-0.371620175143283
sub-s027,3,6,Anterior,-2.85845585926361
sub-s027,3,7,Anterior,-1.93539481172939
sub-s027,3,8,Anterior,-0.524090586170073
sub-s027,3,9,Anterior,0.0982841555735156
sub-s027,3,10,Anterior,5.99974369214878
sub-s027,3,11,Anterior,-0.579808019942814
sub-s027,3,12,Anterior,-1.67433468871299
sub-s027,3,13,Anterior,-0.675940219761669
sub-s027,3,14,Anterior,-1.12109185312124
