SubID,Run,Trial,Segment,Beta
sub-s014,1,1,Anterior,0.683574021163006
sub-s014,1,2,Anterior,2.28988712423691
sub-s014,1,3,Anterior,5.86948541077154
sub-s014,1,4,Anterior,1.78494096700583
sub-s014,1,5,Anterior,0.40038642407425
sub-s014,1,6,Anterior,-2.31118675480379
sub-s014,1,7,Anterior,-2.5215037189717
sub-s014,1,8,Anterior,5.60673159763457
sub-s014,1,9,Anterior,-1.75362144932601
sub-s014,1,10,Anterior,0.979089162507725
sub-s014,1,11,Anterior,0.343867634317928
sub-s014,1,12,Anterior,-0.856588693598526
sub-s014,1,13,Anterior,3.67145429499778
sub-s014,1,14,Anterior,1.90266415871109
sub-s014,1,15,Anterior,3.71006177744317
sub-s014,1,16,Anterior,-0.527926975042529
sub-s014,1,17,Anterior,-0.532312209687887
sub-s014,1,18,Anterior,0.42773281258621
sub-s014,1,19,Anterior,0.261412368381336
sub-s014,1,20,Anterior,0.757955077975508
sub-s014,1,21,Anterior,1.32532061468209
sub-s014,1,22,Anterior,1.28418077119896
sub-s014,1,23,Anterior,1.87180568896715
sub-s014,1,24,Anterior,-1.7942504076167
sub-s014,2,1,Anterior,-0.435073159477343
sub-s014,2,2,Anterior,-3.15807012877157
sub-s014,2,3,Anterior,0.194567155273211
sub-s014,2,4,Anterior,-3.51821854573134
sub-s014,2,5,Anterior,1.05025988889317
sub-s014,2,6,Anterior,1.72884652221335
sub-s014,2,7,Anterior,-1.80703462863101
sub-s014,2,8,Anterior,1.33002173564126
sub-s014,2,9,Anterior,0.817438577711132
sub-s014,2,10,Anterior,-0.38529902814527
sub-s014,2,11,Anterior,-0.325020403736421
sub-s014,2,12,Anterior,-1.4481068892825
sub-s014,2,13,Anterior,-0.0344323925073108
sub-s014,2,14,Anterior,0.466231223259632
sub-s014,2,15,Anterior,-1.22336049540149
sub-s014,2,16,Anterior,-2.59264770263408
sub-s014,2,17,Anterior,2.40926895615074
sub-s014,2,18,Anterior,-1.93573659267877
sub-s014,2,19,Anterior,2.08934689412314
sub-s014,2,20,Anterior,-2.23333822539256
sub-s014,2,21,Anterior,-4.01633638335812
sub-s014,2,22,Anterior,-1.10181928720445
sub-s014,2,23,Anterior,2.53259046778323
sub-s014,2,24,Anterior,2.16777537724063
sub-s014,3,1,Anterior,-1.55929801619101
sub-s014,3,2,Anterior,-1.20170066678416
sub-s014,3,3,Anterior,-0.169927802026993
sub-s014,3,4,Anterior,-3.74712613859259
sub-s014,3,5,Anterior,-1.6247823755407
sub-s014,3,6,Anterior,0.359039966107136
sub-s014,3,7,Anterior,-0.221623525714442
sub-s014,3,8,Anterior,-1.59898491857213
sub-s014,3,9,Anterior,2.21333522604959
sub-s014,3,10,Anterior,-0.461391233268284
sub-s014,3,11,Anterior,-1.78362270145707
sub-s014,3,12,Anterior,-0.484645911657642
sub-s014,3,13,Anterior,-3.39995126564416
sub-s014,3,14,Anterior,-1.0369274999154
sub-s014,3,15,Anterior,0.0149102438121073
sub-s014,3,16,Anterior,-0.123674376311922
sub-s014,3,17,Anterior,-2.99237143917144
sub-s014,3,18,Anterior,-2.31680824463406
sub-s014,3,19,Anterior,-3.49570624207357
sub-s014,3,20,Anterior,2.85960583440817
sub-s014,3,21,Anterior,-0.32359285298134
sub-s014,3,22,Anterior,0.45617581069875
sub-s014,3,23,Anterior,-1.71287672582173
sub-s014,3,24,Anterior,-1.78526564230842
sub-s014,4,1,Anterior,0.870265900848373
sub-s014,4,2,Anterior,0.710095588538435
sub-s014,4,3,Anterior,-2.44009957439642
sub-s014,4,4,Anterior,-2.02497611474621
sub-s014,4,5,Anterior,-0.385104897565344
sub-s014,4,6,Anterior,0.0978286625712269
sub-s014,4,7,Anterior,5.11056224328105
sub-s014,4,8,Anterior,-2.40675059476146
sub-s014,4,9,Anterior,-1.54254901143272
sub-s014,4,10,Anterior,-0.920436293908185
sub-s014,4,11,Anterior,0.86969261904878
sub-s014,4,12,Anterior,-1.46535373180203
sub-s014,4,13,Anterior,1.03402536251252
sub-s014,4,14,Anterior,-2.12762356216028
sub-s014,4,15,Anterior,2.10122060709663
sub-s014,4,16,Anterior,0.417830256024195
sub-s014,4,17,Anterior,-4.49841629431373
sub-s014,4,18,Anterior,-0.30480373219677
sub-s014,4,19,Anterior,-1.39003264288148
sub-s014,4,20,Anterior,2.41384255818482
sub-s014,4,21,Anterior,1.50688586277407
sub-s014,4,22,Anterior,0.975996232820645
sub-s014,4,23,Anterior,-1.84222441744585
sub-s014,4,24,Anterior,0.138393221948777
sub-s014,5,1,Anterior,0.203815221088007
sub-s014,5,2,Anterior,0.300383161708352
sub-s014,5,3,Anterior,0.749698717710412
sub-s014,5,4,Anterior,-0.258060594359713
sub-s014,5,5,Anterior,0.512729178618399
sub-s014,5,6,Anterior,0.818986896906168
sub-s014,5,7,Anterior,0.406809336453256
sub-s014,5,8,Anterior,-2.48225804434849
sub-s014,5,9,Anterior,-0.889706347092626
sub-s014,5,10,Anterior,0.834189550290185
sub-s014,5,11,Anterior,0.185079387171314
sub-s014,5,12,Anterior,-0.279903995714361
sub-s014,5,13,Anterior,5.02739278997404
sub-s014,5,14,Anterior,1.0250193215794
sub-s014,5,15,Anterior,1.37219775780555
sub-s014,5,16,Anterior,2.45959415992782
sub-s014,5,17,Anterior,-0.0422506934452441
sub-s014,5,18,Anterior,-0.303471038508559
sub-s014,5,19,Anterior,5.22592453243992
sub-s014,5,20,Anterior,-2.16140362464132
sub-s014,5,21,Anterior,-0.404743673760564
sub-s014,5,22,Anterior,-5.58275756734844
sub-s014,5,23,Anterior,4.72229875897568
sub-s014,5,24,Anterior,1.87489015986061
sub-s014,6,1,Anterior,2.0333485748739
sub-s014,6,2,Anterior,0.923412607877605
sub-s014,6,3,Anterior,-0.265331305803791
sub-s014,6,4,Anterior,0.703331353803796
sub-s014,6,5,Anterior,-0.855237521411431
sub-s014,6,6,Anterior,4.08484864179721
sub-s014,6,7,Anterior,0.431190973778646
sub-s014,6,8,Anterior,0.820467058328852
