SubID,Run,Trial,ROI,Vox,MeanBeta
sub-s004,1,1,LH_AMYG,99.5918367346939,0.532274965868622
sub-s004,1,2,LH_AMYG,99.5918367346939,0.119417604112417
sub-s004,1,3,LH_AMYG,99.5918367346939,0.48766665444633
sub-s004,1,4,LH_AMYG,99.5918367346939,0.204067857035237
sub-s004,1,5,LH_AMYG,99.5918367346939,0.151320003675389
sub-s004,1,6,LH_AMYG,99.5918367346939,0.56617062279695
sub-s004,1,7,LH_AMYG,99.5918367346939,0.361470527607245
sub-s004,1,8,LH_AMYG,99.5918367346939,-0.0281476950288185
sub-s004,1,9,LH_AMYG,99.5918367346939,0.454604310510283
sub-s004,1,10,LH_AMYG,99.5918367346939,0.856603582320949
sub-s004,1,11,LH_AMYG,99.5918367346939,0.0939816625132302
sub-s004,1,12,LH_AMYG,99.5918367346939,0.629161860686956
sub-s004,1,13,LH_AMYG,99.5918367346939,-0.0558929998946727
sub-s004,1,14,LH_AMYG,99.5918367346939,0.0956784124928908
sub-s004,1,15,LH_AMYG,99.5918367346939,0.333583080893016
sub-s004,1,16,LH_AMYG,99.5918367346939,0.791294989324953
sub-s004,1,17,LH_AMYG,99.5918367346939,0.445062097940655
sub-s004,1,18,LH_AMYG,99.5918367346939,-0.103251500184968
sub-s004,1,19,LH_AMYG,99.5918367346939,-0.0642667331610669
sub-s004,1,20,LH_AMYG,99.5918367346939,0.189441502724057
sub-s004,1,21,LH_AMYG,99.5918367346939,0.626015982140222
sub-s004,1,22,LH_AMYG,99.5918367346939,1.06782368951946
sub-s004,1,23,LH_AMYG,99.5918367346939,0.709760640534099
sub-s004,1,24,LH_AMYG,99.5918367346939,-1.07784970061945
sub-s004,2,1,LH_AMYG,99.5918367346939,0.557580292482524
sub-s004,2,2,LH_AMYG,99.5918367346939,0.946379848437185
sub-s004,2,3,LH_AMYG,99.5918367346939,0.56921576605332
sub-s004,2,4,LH_AMYG,99.5918367346939,0.60684408382589
sub-s004,2,5,LH_AMYG,99.5918367346939,0.581969833497691
sub-s004,2,6,LH_AMYG,99.5918367346939,0.880390122639718
sub-s004,2,7,LH_AMYG,99.5918367346939,0.892757691473502
sub-s004,2,8,LH_AMYG,99.5918367346939,0.890037658876266
sub-s004,2,9,LH_AMYG,99.5918367346939,0.187350634783201
sub-s004,2,10,LH_AMYG,99.5918367346939,0.510967781717629
sub-s004,2,11,LH_AMYG,99.5918367346939,0.979627132952045
sub-s004,2,12,LH_AMYG,99.5918367346939,0.968386612481392
sub-s004,2,13,LH_AMYG,99.5918367346939,0.340735898948595
sub-s004,2,14,LH_AMYG,99.5918367346939,0.446243597774721
sub-s004,2,15,LH_AMYG,99.5918367346939,0.704180318243863
sub-s004,2,16,LH_AMYG,99.5918367346939,0.897483960587959
sub-s004,2,17,LH_AMYG,99.5918367346939,0.919318014816915
sub-s004,2,18,LH_AMYG,99.5918367346939,0.843892770697225
sub-s004,2,19,LH_AMYG,99.5918367346939,0.45033590989111
sub-s004,2,20,LH_AMYG,99.5918367346939,0.768173465787693
sub-s004,2,21,LH_AMYG,99.5918367346939,1.08632258492995
sub-s004,2,22,LH_AMYG,99.5918367346939,0.745007511258858
sub-s004,2,23,LH_AMYG,99.5918367346939,0.487347481153966
sub-s004,2,24,LH_AMYG,99.5918367346939,0.385285220185264
sub-s004,3,1,LH_AMYG,99.5918367346939,-0.0867796284509212
sub-s004,3,2,LH_AMYG,99.5918367346939,-0.564769695711429
sub-s004,3,3,LH_AMYG,99.5918367346939,-0.564895937219262
sub-s004,3,4,LH_AMYG,99.5918367346939,-0.869790059463293
sub-s004,3,5,LH_AMYG,99.5918367346939,-0.708333234440108
sub-s004,3,6,LH_AMYG,99.5918367346939,-1.00973778263834
sub-s004,3,7,LH_AMYG,99.5918367346939,-0.0513696735877483
sub-s004,3,8,LH_AMYG,99.5918367346939,0.0467973514383689
sub-s004,3,9,LH_AMYG,99.5918367346939,-0.542049100897351
sub-s004,3,10,LH_AMYG,99.5918367346939,0.135390504263341
sub-s004,3,11,LH_AMYG,99.5918367346939,-0.115030633369613
sub-s004,3,12,LH_AMYG,99.5918367346939,-0.744568806517341
sub-s004,3,13,LH_AMYG,99.5918367346939,-1.71980509926664
sub-s004,3,14,LH_AMYG,99.5918367346939,-0.47197031283171
sub-s004,3,15,LH_AMYG,99.5918367346939,-0.386441256843324
sub-s004,3,16,LH_AMYG,99.5918367346939,-0.18122993416504
sub-s004,3,17,LH_AMYG,99.5918367346939,-0.381195772118622
