SubID,Run,Trial,ROI,Vox,MeanBeta
sub-s010,1,1,LH_AMYG,98.7755102040816,1.81496725790972
sub-s010,1,2,LH_AMYG,98.7755102040816,1.33532986981883
sub-s010,1,3,LH_AMYG,98.7755102040816,1.0753099828235
sub-s010,1,4,LH_AMYG,98.7755102040816,1.22616509834405
sub-s010,1,5,LH_AMYG,98.7755102040816,1.57973273870466
sub-s010,1,6,LH_AMYG,98.7755102040816,1.13265437536588
sub-s010,1,7,LH_AMYG,98.7755102040816,1.31062760091654
sub-s010,1,8,LH_AMYG,98.7755102040816,1.31676596053684
sub-s010,1,9,LH_AMYG,98.7755102040816,1.77841113226812
sub-s010,1,10,LH_AMYG,98.7755102040816,1.81687423577994
sub-s010,1,11,LH_AMYG,98.7755102040816,1.52361952854621
sub-s010,1,12,LH_AMYG,98.7755102040816,0.880385148777696
sub-s010,1,13,LH_AMYG,98.7755102040816,1.12923406153794
sub-s010,1,14,LH_AMYG,98.7755102040816,1.4121081136929
sub-s010,1,15,LH_AMYG,98.7755102040816,1.70751813284222
sub-s010,1,16,LH_AMYG,98.7755102040816,1.88063020700943
sub-s010,1,17,LH_AMYG,98.7755102040816,1.76750940012107
sub-s010,1,18,LH_AMYG,98.7755102040816,0.652226778132117
sub-s010,1,19,LH_AMYG,98.7755102040816,1.13402380678064
sub-s010,1,20,LH_AMYG,98.7755102040816,1.41427448553164
sub-s010,1,21,LH_AMYG,98.7755102040816,1.41151421809615
sub-s010,1,22,LH_AMYG,98.7755102040816,0.885509389537302
sub-s010,1,23,LH_AMYG,98.7755102040816,1.31902217560386
sub-s010,1,24,LH_AMYG,98.7755102040816,2.26342269325675
sub-s010,2,1,LH_AMYG,98.7755102040816,-0.20910915998311
sub-s010,2,2,LH_AMYG,98.7755102040816,-0.466042571162328
sub-s010,2,3,LH_AMYG,98.7755102040816,-0.516893726611926
sub-s010,2,4,LH_AMYG,98.7755102040816,-0.393841168820119
sub-s010,2,5,LH_AMYG,98.7755102040816,0.0253466694983307
sub-s010,2,6,LH_AMYG,98.7755102040816,-0.626351353400656
sub-s010,2,7,LH_AMYG,98.7755102040816,0.299977799292561
sub-s010,2,8,LH_AMYG,98.7755102040816,-0.860533648514966
sub-s010,2,9,LH_AMYG,98.7755102040816,-0.45536022902705
sub-s010,2,10,LH_AMYG,98.7755102040816,0.671392222158303
sub-s010,2,11,LH_AMYG,98.7755102040816,-0.494940757104927
sub-s010,2,12,LH_AMYG,98.7755102040816,-0.70526953470847
sub-s010,2,13,LH_AMYG,98.7755102040816,-0.194787020725775
sub-s010,2,14,LH_AMYG,98.7755102040816,-0.479897171308956
sub-s010,2,15,LH_AMYG,98.7755102040816,-0.481090694573546
sub-s010,2,16,LH_AMYG,98.7755102040816,-0.603427108758214
sub-s010,2,17,LH_AMYG,98.7755102040816,-0.139578510629983
sub-s010,2,18,LH_AMYG,98.7755102040816,-0.312307032779598
sub-s010,2,19,LH_AMYG,98.7755102040816,-0.339101222805796
sub-s010,2,20,LH_AMYG,98.7755102040816,0.236284933784161
sub-s010,2,21,LH_AMYG,98.7755102040816,-0.225570927935937
sub-s010,2,22,LH_AMYG,98.7755102040816,-0.635581526324184
sub-s010,2,23,LH_AMYG,98.7755102040816,-0.0388283318001007
sub-s010,2,24,LH_AMYG,98.7755102040816,-1.22738768276181
sub-s010,3,1,LH_AMYG,98.7755102040816,-0.172518317859951
sub-s010,3,2,LH_AMYG,98.7755102040816,0.224645286151939
sub-s010,3,3,LH_AMYG,98.7755102040816,0.15788340577009
sub-s010,3,4,LH_AMYG,98.7755102040816,-0.792828874447006
sub-s010,3,5,LH_AMYG,98.7755102040816,-0.415684060098349
sub-s010,3,6,LH_AMYG,98.7755102040816,0.660683021058082
sub-s010,3,7,LH_AMYG,98.7755102040816,-0.553527407027773
sub-s010,3,8,LH_AMYG,98.7755102040816,-0.504230714010552
sub-s010,3,9,LH_AMYG,98.7755102040816,-0.384253562358785
sub-s010,3,10,LH_AMYG,98.7755102040816,-0.0439339806826031
sub-s010,3,11,LH_AMYG,98.7755102040816,0.136641641755488
sub-s010,3,12,LH_AMYG,98.7755102040816,3.10427516945137e-06
sub-s010,3,13,LH_AMYG,98.7755102040816,-0.130474065749883
sub-s010,3,14,LH_AMYG,98.7755102040816,0.0146262207501934
sub-s010,3,15,LH_AMYG,98.7755102040816,-0.446591425028991
sub-s010,3,16,LH_AMYG,98.7755102040816,0.00817225276577202
sub-s010,3,17,LH_AMYG,98.7755102040816,0.318845799789295
